Tabelle: 12411-001
Bevölkerung: Gemeinden, Stichtage (letzten 6);;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerung (Anzahl);;
;;31.12.2024
09189137;      Pittenhart;1899
09189139;      Reit im Winkl;2161
09189140;      Ruhpolding;6772
09189141;      Schleching;1743
09189142;      Schnaitsee;3679
09189143;      Seeon-Seebruck;4490
09189145;      Siegsdorf;8314
09189146;      Staudach-Egerndach;1117
09189148;      Surberg;3265
09189149;      Tacherting;5643
09189150;      Taching a.See;2087
09189152;      Tittmoning, St;5826
09189154;      Traunreut, St;20379
09189155;      Traunstein, GKSt;20877
09189157;      Trostberg, St;11337
09189159;      Übersee;5013
09189160;      Unterwössen;3633
09189161;      Vachendorf;1755
09189162;      Waging a.See, M;7007
09189165;      Wonneberg;1549
09189444;      Gemeindefreie Gebiete;-
09190;    Weilheim-Schongau (Lkr);138957
09190111;      Altenstadt;3294
09190113;      Antdorf;1356
09190114;      Bernbeuren;2433
09190115;      Bernried am Starnberger See;2420
09190117;      Böbing;1895
09190118;      Burggen;1708
09190120;      Eberfing;1503
09190121;      Eglfing;1211
09190126;      Habach;1127
09190129;      Hohenfurch;1721
09190130;      Hohenpeißenberg;3865
09190131;      Huglfing;2882
09190132;      Iffeldorf;2743
09190133;      Ingenried;1122
09190135;      Oberhausen;2129
09190136;      Obersöchering;1565
09190138;      Pähl;2542
09190139;      Peißenberg, M;13148
09190140;      Peiting, M;11798
09190141;      Penzberg, St;17028
09190142;      Polling;3633
09190143;      Prem;943
09190144;      Raisting;2365
09190145;      Rottenbuch;1833
09190148;      Schongau, St;12572
09190149;      Schwabbruck;1035
09190151;      Schwabsoien;1450
09190152;      Seeshaupt;3151
09190153;      Sindelsdorf;1206
09190154;      Steingaden;2953
09190157;      Weilheim i.OB, St;23279
09190158;      Wessobrunn;2237
09190159;      Wielenbach;3425
09190160;      Wildsteig;1385
092;  Niederbayern;1259204
09261;    Landshut (Krfr.St);71863
09262;    Passau (Krfr.St);53039
09263;    Straubing (Krfr.St);49002
09271;    Deggendorf (Lkr);121844
09271111;      Aholming;2378
09271113;      Auerbach;2125
09271114;      Außernzell;1535
09271116;      Bernried;4736
09271118;      Buchhofen;991
09271119;      Deggendorf, GKSt;35044
09271122;      Grafling;2707
09271123;      Grattersdorf;1356
09271125;      Hengersberg, M;7810
09271126;      Hunding;1162
09271127;      Iggensbach;2206
09271128;      Künzing;3258
09271130;      Lalling;1651
09271132;      Metten, M;4288
09271135;      Moos;2383
09271138;      Niederalteich;1762
09271139;      Oberpöring;1201
09271140;      Offenberg;3334
09271141;      Osterhofen, St;12280
09271143;      Otzing;1978
09271146;      Plattling, St;13160
09271148;      Schaufling;1487
09271149;      Schöllnach, M;4763
09271151;      Stephansposching;3189
09271152;      Wallerfing;1268
09271153;      Winzer, M;3792
09272;    Freyung-Grafenau (Lkr);78710
09272116;      Eppenschlag;935
09272118;      Freyung, St;7078
09272119;      Fürsteneck;826
09272120;      Grafenau, St;8203
09272121;      Grainet;2445
09272122;      Haidmühle;1401
09272126;      Hinterschmiding;2442
09272127;      Hohenau;3269
09272128;      Innernzell;1516
09272129;      Jandelsbrunn;3329
09272134;      Mauth;2016
09272136;      Neureichenau;4238
09272138;      Perlesreut, M;2863
09272139;      Philippsreut;618
09272140;      Ringelai;1890
09272141;      Röhrnbach, M;4323
09272142;      Saldenburg;1986
09272143;      Sankt Oswald-Riedlhütte;2944
09272145;      Schöfweg;1297
09272146;      Neuschönau;2191
09272147;      Schönberg, M;3925
09272149;      Spiegelau;3890
09272150;      Thurmansbang;2570
09272151;      Waldkirchen, St;11356
09272152;      Zenting;1159
09272444;      Gemeindefreie Gebiete;-
09273;    Kelheim (Lkr);126037
09273111;      Abensberg, St;15061
09273113;      Aiglsbach;1905
09273115;      Attenhofen;1459
09273116;      Bad Abbach, M;12545
09273119;      Biburg;1401
09273121;      Essing, M;1124
09273125;      Hausen;2280
09273127;      Herrngiersdorf;1412
09273133;      Ihrlerstein;4184
